,location,total_sqft,bath,bhk_size,price
3294,Haralur Road,1464.0,2.0,2,56.0
3295,Other,1468.0,3.0,2,130.0
3296,Electronics City Phase 1,1555.0,2.0,3,82.0
3298,Whitefield,1150.0,2.0,2,55.0
3299,Kadubeesanahalli,970.0,2.0,2,35.0
3300,Banashankari,2500.0,4.0,4,95.0
3301,Other,1166.0,2.0,2,53.0
3302,Konanakunte,2779.0,3.0,3,317.0
3303,Electronic City,1350.0,3.0,3,58.0
3304,Other,900.0,2.0,2,46.0
3305,7th Phase JP Nagar,1300.0,2.0,3,52.0
3306,Other,1190.0,3.0,3,55.0
3307,Kodichikkanahalli,1495.0,2.0,3,75.0
3308,Indira Nagar,1224.0,2.0,2,105.0
3309,Banashankari Stage III,1350.0,2.0,3,68.0
3310,Green Glen Layout,940.0,2.0,2,56.8
3311,Raja Rajeshwari Nagar,1100.0,2.0,2,55.0
3312,Kaikondrahalli,1300.0,2.0,2,61.0
3313,Other,1480.0,2.0,3,145.0
3314,Hoodi,1105.0,2.0,2,46.37
3315,Sarjapur  Road,2600.0,3.0,3,200.0
3316,Yelahanka,1517.0,3.0,3,76.3
3318,Jalahalli,1615.0,3.0,3,89.75
3319,Other,1500.0,3.0,3,65.0
3320,Mysore Road,1082.0,3.0,3,50.5
3321,Marathahalli,1365.0,2.0,2,73.0
3322,Electronic City,1000.0,2.0,2,25.0
3323,CV Raman Nagar,1392.0,2.0,2,98.0
3324,Kodigehalli,1086.0,2.0,2,33.66
3325,Hennur Road,1586.0,3.0,3,93.94
3326,Hennur,1100.0,2.0,2,60.0
3327,Electronic City Phase II,1065.0,2.0,2,30.75
3328,TC Palaya,1500.0,2.0,3,120.0
3329,7th Phase JP Nagar,1575.0,2.0,3,120.0
3330,Hennur Road,1975.0,3.0,3,123.0
3331,Other,820.0,2.0,2,24.0
3332,Gubbalala,1745.0,3.0,3,110.0
3333,Nagarbhavi,1223.0,2.0,2,60.0
3334,Ananth Nagar,1200.0,2.0,3,65.0
3335,Basaveshwara Nagar,1200.0,2.0,2,90.0
3336,Binny Pete,665.0,1.0,1,46.08
3337,Bharathi Nagar,1351.0,2.0,2,70.0
3338,Hebbal,1355.0,3.0,3,83.87
3339,Sector 7 HSR Layout,3900.0,3.0,3,300.0
3340,Thanisandra,1588.0,3.0,3,75.55
3341,Amruthahalli,900.0,2.0,2,60.0
3342,Other,440.0,3.0,3,50.0
3343,Harlur,3385.0,4.0,4,260.0
3344,Panathur,1370.0,2.0,3,75.0
3345,Whitefield,1500.0,3.0,3,71.8
3346,Other,2280.0,3.0,3,285.0
3347,Kanakpura Road,1100.0,3.0,3,53.0
3348,Hoodi,1247.0,2.0,2,53.0
3349,Other,2000.0,3.0,3,200.0
3350,Balagere,1020.07,2.0,2,68.38
3351,Other,1033.0,2.0,3,32.0
3352,Other,1460.0,2.0,3,73.0
3353,Garudachar Palya,1150.0,2.0,2,52.8
3355,Babusapalaya,1141.0,2.0,2,46.0
3358,Hosa Road,1665.0,2.0,3,125.0
3359,Kanakapura,1295.0,2.0,2,64.0
3360,Haralur Road,1230.0,2.0,2,78.0
3361,Other,1080.0,2.0,3,75.0
3362,Kaggalipura,1000.0,2.0,2,60.0
3363,Kaval Byrasandra,2400.0,2.0,3,50.0
3364,Whitefield,630.5,1.0,1,32.79
3365,Rayasandra,1708.0,3.0,3,75.0
3366,Thanisandra,1697.0,3.0,3,115.0
3367,Whitefield,3537.0,5.0,4,210.0
3368,Hosa Road,615.0,1.0,1,28.29
3369,Banashankari,1350.0,2.0,3,83.0
3370,Kanakpura Road,1530.0,3.0,3,66.4
3371,Jalahalli,1083.0,2.0,2,32.49
3372,Gottigere,1460.0,2.0,3,65.0
3373,Babusapalaya,1084.0,2.0,2,58.0
3374,Bommasandra,1035.0,2.0,2,41.43
3375,Other,2400.0,2.0,3,150.0
3376,Hosur Road,460.0,1.0,1,21.0
3377,Other,950.0,5.0,5,90.0
3378,Whitefield,1285.0,2.0,2,55.9
3380,Sarjapur,1200.0,3.0,3,78.0
3381,Other,1070.0,2.0,2,35.0
3382,Hegde Nagar,1801.0,3.0,3,140.0
3383,Whitefield,1697.0,3.0,3,115.0
3384,AECS Layout,1199.0,2.0,2,65.0
3385,Iblur Village,2300.0,3.0,3,220.0
3386,Mysore Road,1340.0,2.0,3,64.31
3387,Marathahalli,3800.0,4.0,4,205.0
3388,Jigani,600.0,5.0,5,50.0
3389,Other,1125.0,2.0,2,75.0
3390,Anandapura,1200.0,2.0,2,67.0
3391,Subramanyapura,1050.0,2.0,2,41.0
3392,Nagarbhavi,956.0,2.0,2,49.0
3393,Sarjapur,1000.0,2.0,2,30.0
3394,Other,1596.0,3.0,3,95.0
3396,Kanakpura Road,1296.0,2.0,2,89.06
3398,Other,1639.0,3.0,3,123.0
3399,Electronic City Phase II,1219.0,2.0,2,61.25
3400,Uttarahalli,1200.0,3.0,3,50.0
3401,Bannerghatta Road,1218.0,2.0,2,73.0
3402,Other,920.0,2.0,2,37.0
3403,Yeshwanthpur,2559.0,3.0,3,141.0
3404,2nd Phase Judicial Layout,525.0,1.0,1,26.0
3405,Bannerghatta Road,1427.0,2.0,3,48.51
3406,Kothannur,1270.0,3.0,3,45.0
3407,Ramagondanahalli,920.0,2.0,2,65.0
3408,Dommasandra,2700.0,3.0,4,68.0
3409,Other,1740.0,3.0,3,199.0
3410,Ramamurthy Nagar,1355.0,2.0,3,40.0
3411,Lingadheeranahalli,1530.0,2.0,3,90.0
3412,Other,1372.0,2.0,3,90.0
3413,Nehru Nagar,2363.0,5.0,4,120.0
3414,Marathahalli,3895.0,4.0,4,220.0
3415,Jakkur,1950.0,3.0,3,131.0
3416,Other,885.0,2.0,2,40.0
3417,Yelahanka,600.0,2.0,2,27.0
3418,Kumaraswami Layout,1270.0,4.0,5,128.0
3419,Vijayanagar,1380.0,2.0,2,225.0
3420,Kanakpura Road,1339.0,2.0,2,62.0
3421,Whitefield,1130.0,2.0,2,36.0
3422,Uttarahalli,1085.0,2.0,2,43.0
3423,Yeshwanthpur,1430.0,3.0,3,72.0
3424,Bhoganhalli,1451.5,4.0,4,121.0
3426,Other,1490.0,2.0,3,59.6
3427,Other,1650.0,4.0,4,99.0
3428,Bellandur,1286.0,2.0,2,57.0
3429,Other,925.0,2.0,2,63.0
3430,Bellandur,3016.0,4.0,4,230.0
3431,Haralur Road,1000.0,2.0,2,44.0
3432,Whitefield,1215.0,2.0,2,39.0
3433,Other,1200.0,3.0,4,95.0
3434,Lakshminarayana Pura,1336.0,2.0,2,100.0
3435,Yeshwanthpur,673.0,1.0,1,36.85
3436,Anandapura,1200.0,2.0,2,58.0
3438,Malleshwaram,1600.0,3.0,3,160.0
3439,Other,1200.0,2.0,2,79.0
3441,Other,2500.0,3.0,3,270.0
3442,Devanahalli,2400.0,5.0,5,100.0
3443,Sector 2 HSR Layout,1143.0,2.0,2,65.0
3444,Kanakpura Road,1470.0,2.0,2,61.74
3445,Other,1584.0,3.0,4,145.0
3446,Marathahalli,1785.0,3.0,3,94.0
3447,Koramangala,2292.0,3.0,3,286.0
3448,Kothanur,1460.0,3.0,3,71.0
3449,Kasturi Nagar,1500.0,2.0,3,80.0
3450,Yelahanka,1200.0,4.0,5,140.0
3451,Sanjay nagar,3300.0,3.0,5,250.0
3452,Chikkalasandra,1230.0,2.0,2,48.0
3453,Yelahanka New Town,650.0,1.0,1,20.0
3454,Benson Town,1480.0,2.0,2,120.0
3455,Thanisandra,1220.0,2.0,2,43.92
3456,Other,1570.0,3.0,3,115.0
3457,Other,3000.0,3.0,3,400.0
3458,Mallasandra,1665.0,3.0,3,86.91
3459,Other,1350.0,3.0,3,380.0
3461,Ramamurthy Nagar,1100.0,2.0,2,68.0
3462,Kathriguppe,1350.0,2.0,3,87.01
3463,Kasavanhalli,1719.0,3.0,3,116.0
3464,Budigere,664.0,1.0,1,35.0
3465,Sonnenahalli,1011.0,2.0,2,50.53
3467,Other,1680.0,3.0,3,85.0
3468,Yeshwanthpur,717.0,2.0,2,49.475
3469,Thyagaraja Nagar,700.0,4.0,4,110.0
3470,Whitefield,1520.0,2.0,3,150.0
3471,Uttarahalli,1350.0,2.0,3,53.0
3472,Kothanur,1760.0,3.0,3,150.0
3473,Pattandur Agrahara,875.0,2.0,2,33.0
3474,Hennur,1231.0,2.0,2,48.0
3475,Somasundara Palya,1174.0,2.0,2,74.0
3476,Munnekollal,1560.0,3.0,3,75.0
3477,Other,1464.0,2.0,2,56.0
3478,Kanakpura Road,2200.0,3.0,3,130.0
3479,Shivaji Nagar,850.0,2.0,2,55.0
3480,Other,1750.0,3.0,3,180.0
3481,1st Phase JP Nagar,2024.0,3.0,3,157.0
3482,Other,1500.0,1.0,2,160.0
3484,Kodihalli,2408.0,4.0,3,260.0
3485,Devanahalli,1080.0,2.0,2,44.0
3486,Indira Nagar,2070.0,3.0,3,225.0
3487,Electronic City,1020.0,2.0,2,29.46
3488,Begur Road,1500.0,2.0,3,55.0
3489,Mahalakshmi Layout,1575.0,5.0,4,158.0
3490,Kodichikkanahalli,3250.0,4.0,4,180.0
3491,Uttarahalli,1175.0,2.0,2,47.0
3492,Channasandra,1030.0,2.0,2,34.5
3493,Hebbal,1440.0,2.0,2,115.0
3494,Hoodi,1500.0,2.0,2,84.0
3495,Thanisandra,1380.0,1.0,1,62.1
3496,Other,1200.0,2.0,2,50.0
3497,Other,705.0,1.0,1,36.5
3498,Harlur,2240.0,5.0,3,155.0
3499,Hegde Nagar,1584.01,3.0,3,103.0
3500,Other,1340.0,3.0,3,77.0
3501,Other,1800.0,3.0,3,70.0
3502,R.T. Nagar,1200.0,2.0,2,45.0
3503,Sarjapur  Road,685.0,1.0,1,40.0
3504,Other,925.0,2.0,2,42.0
3505,Other,1230.0,2.0,2,57.0
3506,Other,1200.0,5.0,5,185.0
3507,Kodichikkanahalli,1125.0,2.0,2,52.0
3508,Hebbal,1100.0,2.0,2,54.0
3509,Jigani,2400.0,3.0,3,149.0
3510,Electronic City Phase II,1400.0,2.0,3,41.58
3512,Jakkur,1858.0,3.0,3,98.3
3513,Other,1260.0,1.0,1,41.0
3514,Ambedkar Nagar,3530.0,4.0,4,290.0
3515,HSR Layout,1185.0,2.0,2,60.0
3516,Other,1200.0,2.0,2,216.0
3517,Hennur,1255.0,2.0,2,58.0
3519,Kudlu Gate,1335.0,3.0,3,89.0
3520,Dodda Nekkundi,1999.0,3.0,3,132.0
3521,Other,1200.0,2.0,2,125.0
3522,Kundalahalli,1397.0,3.0,3,110.0
3525,Yelahanka New Town,1200.0,2.0,2,130.0
3526,Chikka Tirupathi,1616.0,3.0,3,95.0
3528,Other,1270.0,2.0,4,175.0
3529,Raja Rajeshwari Nagar,1140.0,2.0,2,38.55
3530,Kanakpura Road,525.0,1.0,1,30.0
3531,Varthur,1200.0,2.0,3,98.0
3532,Other,700.0,1.0,1,162.0
3533,Balagere,1205.47,2.0,2,81.0
3534,Other,1200.0,3.0,3,130.0
3535,Electronic City,1700.0,3.0,3,75.0
3536,Thanisandra,750.0,4.0,5,62.0
3537,Kanakpura Road,1090.0,2.0,2,54.54
3538,Yeshwanthpur,3600.0,5.0,4,220.0
3540,Thanisandra,923.0,1.0,1,60.84
3542,Green Glen Layout,1050.0,2.0,2,48.0
3543,Whitefield,1495.0,2.0,2,79.5
3544,Hennur Road,1664.0,3.0,3,93.865
3545,Narayanapura,1485.0,3.0,3,85.0
3546,Dommasandra,1033.0,2.0,3,31.5
3547,Electronic City,1400.0,2.0,3,48.0
3548,Indira Nagar,500.0,1.0,1,70.0
3549,Sarjapur  Road,944.0,2.0,2,35.0
3550,Whitefield,3250.0,5.0,5,290.0
3551,Whitefield,1216.0,2.0,2,66.48
3552,Other,1100.0,2.0,2,39.5
3553,Thanisandra,1743.0,3.0,3,93.25
3554,Yelahanka,1274.0,2.0,2,48.42
3556,Mysore Road,1512.0,2.0,3,110.0
3557,Other,3100.0,5.0,4,385.0
3558,Cox Town,1650.0,3.0,3,100.0
3559,Doddathoguru,1875.0,3.0,3,55.0
3560,Whitefield,1350.0,3.0,3,54.0
3561,Other,1219.0,2.0,2,40.0
3562,Other,1200.0,4.0,4,150.0
3563,Sarjapura - Attibele Road,2400.0,3.0,3,85.0
3564,Hormavu,1141.0,2.0,2,44.4
3565,Anandapura,1151.0,2.0,2,43.1
3566,Bommenahalli,832.0,3.0,3,77.0
3567,Sarjapur  Road,915.0,2.0,2,38.0
3568,Other,3259.0,3.0,3,270.0
3569,Bannerghatta Road,1115.0,2.0,2,65.12
3570,Thigalarapalya,2072.0,4.0,3,139.0
3571,Kaggadasapura,1200.0,2.0,2,53.0
3572,Singasandra,1300.0,2.0,2,65.0
3573,Bellandur,1457.0,2.0,2,85.0
3574,Kannamangala,1262.0,2.0,2,55.0
3575,BEML Layout,1196.0,3.0,4,150.0
3576,Ananth Nagar,900.0,2.0,2,22.5
3577,Attibele,420.0,1.0,1,17.0
3578,Kanakapura,1160.0,2.0,2,46.39
3579,Kasavanhalli,1115.0,2.0,2,50.0
3580,JP Nagar,1315.0,2.0,3,85.4
3581,Babusapalaya,1500.0,2.0,2,57.0
3582,HSR Layout,1127.0,2.0,2,68.0
3583,Kundalahalli,1397.0,3.0,3,104.0
3584,Whitefield,1173.0,2.0,2,60.0
3585,Sompura,1090.0,2.0,2,28.0
3586,Sarjapur  Road,2720.0,5.0,3,210.0
3587,Jakkur,1230.0,2.0,2,76.0
3588,Other,3200.0,3.0,4,190.0
3589,Sarjapur  Road,858.0,2.0,2,31.57
3590,Talaghattapura,1868.0,3.0,3,121.0
3591,Uttarahalli,1689.28,3.0,3,91.2
3592,Vishwapriya Layout,600.0,3.0,4,73.0
3593,Banashankari,1425.0,3.0,3,49.88
3595,Tindlu,1350.0,2.0,2,100.0
3597,Uttarahalli,1310.0,2.0,3,85.0
3598,Haralur Road,3185.0,3.0,4,175.0
3599,Other,970.0,2.0,2,40.0
3600,Kundalahalli,1397.0,3.0,3,108.0
3601,Sarjapur,1157.0,2.0,2,40.0
3602,Kasavanhalli,1125.0,2.0,2,61.2
3603,Sonnenahalli,1157.0,2.0,2,42.0
3604,Sarjapur  Road,1241.0,2.0,2,82.0
3605,Binny Pete,660.0,1.0,1,62.0
3606,Marathahalli,4000.0,4.0,4,220.0
3607,Rajiv Nagar,2340.0,4.0,4,148.0
3608,Other,596.0,1.0,1,42.0
3610,Other,1200.0,4.0,4,110.0
3611,Other,1910.0,3.0,3,190.0
3612,Brookefield,1139.0,2.0,2,80.0
3613,Thigalarapalya,3122.0,5.0,4,225.0
3614,Sarjapura - Attibele Road,1033.0,2.0,2,28.41
3615,Yeshwanthpur,1168.0,2.0,2,64.08
3616,Chandapura,877.0,2.0,2,42.0
3617,Electronics City Phase 1,1340.0,2.0,2,75.0
3618,Other,1405.0,2.0,3,70.0
3619,Other,1800.0,3.0,3,65.0
3620,Other,1750.0,3.0,3,149.0
3621,Other,1360.0,2.0,3,65.0
3622,Malleshwaram,675.0,2.0,3,148.0
3623,Other,985.0,2.0,2,63.0
3624,Other,1300.0,2.0,2,129.0
3625,7th Phase JP Nagar,1850.0,3.0,3,150.0
3626,Other,1490.0,2.0,3,88.0
3627,Other,620.0,1.0,2,25.0
3628,Hormavu,1130.0,2.0,2,42.3
3629,Yelachenahalli,1080.0,2.0,2,55.0
3630,Singasandra,3126.0,4.0,4,120.0
3631,Begur Road,1410.0,2.0,3,52.17
3632,Bommanahalli,1375.0,3.0,3,59.0
3633,Hennur Road,1290.0,2.0,3,94.5
3634,Hosa Road,1318.0,2.0,3,85.28
3635,Electronic City,1128.0,2.0,2,68.0
3637,Kanakpura Road,1051.0,2.0,2,56.74
3638,Kengeri,3500.0,5.0,3,275.0
3639,Kannamangala,2400.0,4.0,4,130.0
3640,Yelahanka,1327.0,2.0,2,85.0
3642,Other,1301.0,2.0,2,55.0
3643,Other,650.0,1.0,1,30.0
3644,Varthur,1200.0,3.0,3,67.75
3645,Other,1500.0,2.0,3,89.99
3647,Other,1350.0,4.0,4,145.0
3648,Electronic City Phase II,1000.0,2.0,2,28.88
3649,Sarjapur  Road,984.0,2.0,2,45.91
3650,Jakkur,1819.18,3.0,3,160.0
3651,Nagarbhavi,900.0,1.0,1,175.0
3652,Hebbal,1355.0,3.0,3,83.87
3653,Sarakki Nagar,2145.0,4.0,3,270.0
3654,Malleshwaram,2475.0,4.0,3,300.0
3655,Kaggadasapura,1118.0,2.0,2,30.0
3656,Other,910.0,1.0,1,42.0
3657,Other,1250.0,3.0,3,39.0
3658,Hosakerehalli,1304.0,2.0,2,100.0
3659,Begur Road,1615.0,3.0,3,58.0
3660,Sarjapur  Road,1400.0,2.0,2,68.0
3661,CV Raman Nagar,1070.0,2.0,2,47.5
3662,Hebbal,3500.0,3.0,3,395.0
3663,Hoodi,1132.0,2.0,2,89.37
3664,Other,2000.0,3.0,3,85.0
3666,Sector 2 HSR Layout,794.0,1.0,1,65.0
3667,Raja Rajeshwari Nagar,1090.0,2.0,2,43.59
3668,Gottigere,1500.0,3.0,3,70.0
3669,1st Phase JP Nagar,2059.0,3.0,3,225.0
3670,Kanakpura Road,525.0,1.0,1,30.0
3671,Bhoganhalli,1447.0,2.0,2,75.97
3672,Whitefield,1269.0,2.0,2,75.0
3674,Kanakpura Road,1070.0,2.0,2,37.45
3675,Talaghattapura,1150.0,2.0,2,28.0
3676,Marathahalli,1208.0,2.0,2,70.0
3677,Ramamurthy Nagar,1185.0,2.0,2,45.5
3678,Laggere,1200.0,3.0,3,130.0
3679,Anekal,888.0,2.0,2,34.0
3680,Chandapura,1015.0,2.0,2,25.88
3681,Other,532.0,1.0,1,22.49
3682,Other,1060.0,3.0,3,62.0
3683,Electronic City,700.0,1.0,1,35.0
3684,Other,902.0,2.0,2,42.0
3686,Uttarahalli,1175.0,2.0,2,47.0
3687,Binny Pete,1365.0,2.0,2,122.0
3688,Doddathoguru,984.0,2.0,2,51.0
3689,Hebbal,2700.0,2.0,4,100.0
3690,Jalahalli East,1475.0,3.0,3,96.0
3691,Haralur Road,1300.0,2.0,2,79.0
3693,Babusapalaya,1453.0,2.0,3,43.59
3694,Other,1550.0,2.0,2,160.0
3695,Akshaya Nagar,1666.0,3.0,3,95.0
3696,Akshaya Nagar,1410.0,4.0,4,160.0
3698,Murugeshpalya,1845.0,3.0,3,91.0
3699,Sarjapura - Attibele Road,1676.0,3.0,3,52.0
3700,Uttarahalli,1137.0,2.0,2,63.0
3701,Electronic City,1360.0,2.0,3,70.5
3702,Other,1374.0,2.0,3,70.0
3703,Judicial Layout,1700.0,3.0,3,155.0
3704,Whitefield,3227.0,5.0,5,250.0
3705,Other,2145.0,4.0,4,125.0
3707,Kasavanhalli,2170.0,3.0,3,151.0
3708,Other,1080.0,2.0,2,55.0
3709,Electronic City Phase II,1790.0,3.0,3,100.0
3710,Doddathoguru,550.0,1.0,1,17.0
3711,Poorna Pragna Layout,1270.0,2.0,3,50.79
3712,Somasundara Palya,1033.0,2.0,2,48.0
3713,Other,1000.0,2.0,2,80.0
3715,Other,1240.0,2.0,2,52.6
3717,Kambipura,883.0,2.0,2,39.0
3718,Other,1500.0,2.0,3,97.0
3719,Marathahalli,1730.0,3.0,3,139.0
3720,Kasavanhalli,1915.0,3.0,3,80.0
3721,Whitefield,1545.0,3.0,3,79.0
3722,Other,1865.0,4.0,3,140.0
3723,Hebbal Kempapura,1150.0,2.0,2,40.0
3724,Other,1200.0,2.0,2,49.0
3725,Kengeri,963.0,2.0,2,40.0
3726,Marsur,1200.0,3.0,3,120.0
3727,Basavangudi,2600.0,4.0,4,260.0
3728,Kaikondrahalli,1700.0,4.0,4,108.0
3729,Lingadheeranahalli,1682.0,3.0,3,120.0
3730,Yelahanka,1371.0,2.0,3,65.0
3731,Hennur Road,901.0,2.0,2,49.5
3733,Ambalipura,1730.0,3.0,3,120.0
3734,Konanakunte,1200.0,4.0,4,125.0
3735,EPIP Zone,1500.0,3.0,3,102.0
3737,Other,3500.0,4.0,4,245.0
3738,Other,1203.0,2.0,2,59.86
3739,Horamavu Banaswadi,1357.0,2.0,2,54.0
3740,Other,1600.0,3.0,3,76.0
3741,Yelahanka New Town,350.0,1.0,1,13.5
3742,Varthur,1665.0,3.0,3,53.0
3743,Ramamurthy Nagar,1400.0,3.0,3,200.0
3744,Sarjapur  Road,835.0,1.0,1,46.95
3745,Other,815.0,3.0,2,160.0
3746,Haralur Road,1444.0,2.0,3,80.0
3747,Kanakapura,1277.0,2.0,2,55.0
3748,Lingadheeranahalli,1521.0,3.0,3,94.71
3749,Other,1134.0,2.0,2,40.0
3750,Vasanthapura,995.0,2.0,2,34.82
3751,Old Madras Road,2760.0,5.0,3,157.0
3752,Marathahalli,1325.0,1.0,2,92.0
3754,Marathahalli,1525.0,3.0,3,90.0
3755,Other,1320.0,2.0,3,73.0
3756,Electronics City Phase 1,650.0,1.0,1,23.0
3757,Old Airport Road,1858.0,2.0,3,167.0
3758,Electronic City,1150.0,2.0,2,38.0
3759,Electronic City Phase II,769.0,2.0,2,40.0
3760,Electronic City,1571.0,3.0,3,105.0
3761,Hennur Road,1445.0,3.0,3,86.56
3762,Hosur Road,1590.0,2.0,3,135.0
3763,Bommasandra,902.0,2.0,2,49.0
3764,Sarjapur,2238.0,3.0,3,140.0
3765,Electronic City,1090.0,2.0,2,31.49
3766,Yelahanka,1712.0,3.0,3,82.0
3767,Haralur Road,1088.0,2.0,2,68.0
3768,Somasundara Palya,1575.0,3.0,3,63.1
3770,Kundalahalli,1920.0,3.0,3,150.0
3771,Margondanahalli,1000.0,2.0,2,57.0
3772,Other,1100.0,2.0,2,56.1
3773,Electronic City,1089.0,2.0,2,45.0
3774,Horamavu Agara,1106.0,2.0,2,43.09
3775,Kengeri,927.0,2.0,2,37.0
3776,Kanakpura Road,1339.0,2.0,2,58.0
3777,Thanisandra,923.0,1.0,1,45.69
3778,Sarjapur  Road,2900.0,3.0,3,285.0
3779,Lakshminarayana Pura,1175.0,2.0,2,75.0
3780,Thubarahalli,975.0,2.0,2,55.0
3781,Hebbal,2400.0,4.0,3,180.0
3782,Subramanyapura,1330.0,3.0,3,72.0
3783,Thanisandra,1183.0,2.0,2,59.74
3784,Harlur,1758.0,3.0,3,133.0
3785,Nagarbhavi,1200.0,3.0,3,265.0
3786,Hebbal,1255.0,2.0,3,77.68
3787,Other,600.0,4.0,3,110.0
3788,Pai Layout,1100.0,2.0,2,50.0
3789,Ramamurthy Nagar,1170.0,2.0,2,46.8
3790,Other,2400.0,5.0,5,120.0
3791,Raja Rajeshwari Nagar,1530.0,3.0,3,51.77
3792,Hebbal,1420.0,2.0,2,107.0
3793,Other,1200.0,4.0,4,300.0
3795,Kanakpura Road,1591.0,3.0,3,115.0
3796,7th Phase JP Nagar,1680.0,3.0,3,120.0
3797,Other,675.0,3.0,2,52.0
3798,Hoodi,1055.0,2.0,2,57.63
3799,Iblur Village,1918.0,3.0,3,129.0
3800,Sarjapur  Road,1280.0,2.0,2,76.0
3801,Nagarbhavi,1560.0,3.0,3,66.0
3802,Sarjapur  Road,1145.0,2.0,2,49.5
3803,Talaghattapura,2106.0,3.0,3,126.0
3804,Other,1801.0,3.0,3,139.0
3805,Seegehalli,1200.0,5.0,5,120.0
3806,Rajaji Nagar,1718.0,3.0,2,288.0
3807,Whitefield,1306.0,3.0,3,54.65
3808,Hebbal,1320.0,2.0,2,92.0
3809,Other,1350.0,2.0,3,65.0
3810,Other,2990.0,4.0,4,324.0
3811,Kalyan nagar,3800.0,5.0,4,300.0
3812,Bannerghatta Road,1344.0,2.0,3,42.0
3813,Bannerghatta Road,1893.0,3.0,3,100.0
3814,Chandapura,1107.0,2.0,3,43.0
3816,Lakshminarayana Pura,1190.0,2.0,2,75.0
3817,Whitefield,1000.0,2.0,2,35.0
3818,Other,2400.0,2.0,2,160.0
3819,Kumaraswami Layout,1000.0,2.0,2,48.5
3820,Jalahalli,2113.0,3.0,3,155.0
3821,KR Puram,1100.0,2.0,2,46.0
3822,Sector 2 HSR Layout,1200.0,4.0,5,160.0
3823,Harlur,1884.0,4.0,4,120.0
3824,Electronic City,1110.0,2.0,2,40.0
3825,Kudlu,1027.0,2.0,2,43.0
3826,Other,1250.0,3.0,3,40.0
3827,Sarjapur  Road,1470.0,3.0,3,62.0
3828,Other,1150.0,2.0,2,75.0
3829,Other,1200.0,3.0,3,165.0
3830,Kudlu Gate,703.0,1.0,1,52.0
3831,Other,1400.0,2.0,3,62.0
3832,Bellandur,1195.0,2.0,2,51.0
3833,Narayanapura,1302.0,2.0,2,69.1
3834,Begur Road,1583.0,3.0,3,74.4
3835,Other,1488.0,2.0,3,60.0
3836,Other,600.0,5.0,4,85.0
3837,Kammasandra,1385.0,2.0,3,34.63
3838,Whitefield,3262.0,4.0,4,260.0
3839,Electronic City,1600.0,3.0,3,104.0
3840,Old Airport Road,1150.0,2.0,2,90.0
3842,Sarjapur  Road,1263.0,2.0,2,78.0
3844,Kanakpura Road,1299.0,2.0,2,85.0
3845,Banashankari,1330.0,2.0,2,78.0
3846,Devanahalli,1282.0,2.0,3,52.43
3847,Other,1853.0,3.0,3,82.0
3848,Other,861.0,2.0,2,35.0
3849,Bannerghatta Road,1600.0,3.0,3,95.0
3850,Other,1256.0,2.0,2,62.8
3851,Other,1390.0,2.0,3,80.0
3852,Other,1550.0,2.0,3,90.0
3854,Hebbal,919.0,2.0,2,49.0
3855,Margondanahalli,1625.0,3.0,3,80.0
3856,Gunjur,1195.0,2.0,2,44.0
3858,Yelenahalli,1159.0,2.0,2,60.0
3859,Whitefield,1386.0,3.0,3,57.46
3860,Harlur,1197.0,2.0,2,79.0
3861,Old Airport Road,2690.0,4.0,4,191.0
3863,Bommasandra,1295.0,2.0,3,50.28
3864,Other,1310.0,2.0,3,37.83
3865,Whitefield,1132.0,2.0,2,79.28
3866,Other,2350.0,3.0,3,400.0
3868,Hebbal,1645.0,3.0,3,135.0
3869,Whitefield,1200.0,2.0,2,45.84
3870,Whitefield,3000.0,4.0,4,330.0
3871,Marathahalli,1937.0,3.0,3,140.0
3872,Doddathoguru,1015.0,2.0,2,33.5
3873,Other,1080.0,2.0,2,39.0
3874,Kathriguppe,1350.0,2.0,3,80.99
3875,Kengeri Satellite Town,1149.0,2.0,3,29.0
3876,Kothanur,1185.0,2.0,2,59.0
3877,Domlur,1720.0,3.0,3,135.0
3878,Hebbal,2080.0,3.0,3,175.0
3879,Tindlu,1500.0,3.0,3,87.0
3880,Yelahanka,1566.0,3.0,3,97.0
3881,Rajaji Nagar,2386.0,3.0,3,334.0
3882,Other,1500.0,4.0,4,110.0
3883,KR Puram,1290.0,2.0,2,49.02
3884,Other,1531.0,3.0,3,72.0
3885,Other,1839.0,3.0,3,165.0
3887,Electronic City Phase II,1400.0,2.0,3,40.43
3888,Electronic City,550.0,1.0,2,15.0
3889,Whitefield,1140.0,2.0,2,39.0
3890,Tumkur Road,1343.5,3.0,3,57.76
3891,Banashankari Stage III,2000.0,4.0,4,100.0
3892,Kaval Byrasandra,1100.0,2.0,2,46.0
3893,Other,1200.0,2.0,2,55.0
3894,Bannerghatta,1618.0,3.0,3,68.0
3895,Whitefield,2830.0,5.0,4,160.0
3896,Uttarahalli,1315.0,2.0,3,74.0
3897,Anandapura,1141.0,2.0,2,42.75
3898,AECS Layout,1080.0,2.0,2,55.0
3899,HBR Layout,1200.0,2.0,2,60.0
3900,Varthur,1111.0,2.0,2,41.88
3901,NGR Layout,1022.0,2.0,2,45.9
3902,Bannerghatta Road,1275.0,2.0,2,65.0
3903,Other,900.0,2.0,2,70.0
3904,Rachenahalli,1224.0,2.0,2,39.2
3905,Battarahalli,1135.0,2.0,2,43.0
3906,Rachenahalli,1050.0,2.0,2,52.1
